## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DG.bam OUTPUT=bam/MCL1.DG.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:58 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
3010929000	2917694751		1652162426	997518180	192760542	75253603	0	0	0	11653584	11600757	103769	0.501136	0.498864		0.566256	0.341886	0.066066	0.025792	0.908142	0.880021	0	0.40297	0.44279	0.445519	0.800695			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.257423
1	0.31024
2	0.380485
3	0.445386
4	0.507166
5	0.564767
6	0.619434
7	0.671992
8	0.721504
9	0.766991
10	0.803385
11	0.825069
12	0.85233
13	0.877652
14	0.891992
15	0.906106
16	0.923321
17	0.939776
18	0.960402
19	0.979721
20	1.009146
21	1.035101
22	1.046996
23	1.050247
24	1.059258
25	1.071457
26	1.083864
27	1.097444
28	1.102654
29	1.110439
30	1.111183
31	1.118843
32	1.12238
33	1.128157
34	1.137997
35	1.14092
36	1.147055
37	1.149085
38	1.14366
39	1.155258
40	1.167485
41	1.163232
42	1.17086
43	1.179184
44	1.183942
45	1.188995
46	1.190326
47	1.184999
48	1.18812
49	1.188012
50	1.186518
51	1.186621
52	1.186558
53	1.189385
54	1.188631
55	1.189884
56	1.18765
57	1.181787
58	1.183334
59	1.179353
60	1.176399
61	1.171873
62	1.167427
63	1.1599
64	1.156532
65	1.157496
66	1.157816
67	1.147128
68	1.144204
69	1.135766
70	1.126683
71	1.124164
72	1.126496
73	1.129588
74	1.121949
75	1.099816
76	1.094196
77	1.08605
78	1.074153
79	1.062526
80	1.054436
81	1.056546
82	1.069672
83	1.059874
84	1.043029
85	1.025731
86	1.002
87	0.977844
88	0.956134
89	0.92122
90	0.89712
91	0.869251
92	0.842736
93	0.807756
94	0.766891
95	0.72055
96	0.669445
97	0.612964
98	0.558151
99	0.51316
100	0.478768

