## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DH.bam OUTPUT=bam/MCL1.DH.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:58 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2832235100	2736546040		1554816223	939909164	161296189	80524464	0	0	0	10952663	10883439	100048	0.501585	0.498415		0.568167	0.343466	0.058942	0.029426	0.911633	0.880833	0	0.409788	0.441764	0.44903	0.839747			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.26356
1	0.316409
2	0.391157
3	0.460614
4	0.525126
5	0.584342
6	0.635794
7	0.683957
8	0.734019
9	0.778755
10	0.816287
11	0.837915
12	0.86352
13	0.889573
14	0.903647
15	0.919847
16	0.936061
17	0.949624
18	0.965908
19	0.982577
20	1.010901
21	1.039324
22	1.050884
23	1.051656
24	1.05698
25	1.065601
26	1.077491
27	1.095314
28	1.101431
29	1.110185
30	1.109523
31	1.117512
32	1.121129
33	1.124526
34	1.134203
35	1.135875
36	1.142867
37	1.148118
38	1.147142
39	1.161737
40	1.175735
41	1.170136
42	1.17534
43	1.182595
44	1.182345
45	1.182305
46	1.181349
47	1.177641
48	1.182585
49	1.185004
50	1.186211
51	1.185402
52	1.184556
53	1.184544
54	1.182451
55	1.185573
56	1.182579
57	1.179127
58	1.179846
59	1.174573
60	1.1724
61	1.164164
62	1.156806
63	1.148233
64	1.145467
65	1.147082
66	1.146346
67	1.135702
68	1.13398
69	1.127098
70	1.12229
71	1.120606
72	1.123196
73	1.128797
74	1.125366
75	1.106543
76	1.096547
77	1.08548
78	1.073433
79	1.061089
80	1.051324
81	1.058164
82	1.069015
83	1.059062
84	1.042507
85	1.024726
86	1.000619
87	0.97546
88	0.952914
89	0.918299
90	0.895397
91	0.865491
92	0.838633
93	0.805289
94	0.764436
95	0.718358
96	0.666269
97	0.608128
98	0.548994
99	0.50133
100	0.467342

