## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DI.bam OUTPUT=bam/MCL1.DI.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:58 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
3168834800	3025114939		1703489601	1023344822	205957794	92322722	0	0	0	11960208	11902171	107767	0.501216	0.498784		0.563116	0.338283	0.068083	0.030519	0.901399	0.860516	0	0.399944	0.461129	0.453655	0.797959			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.265658
1	0.315016
2	0.388894
3	0.459364
4	0.522577
5	0.580075
6	0.635165
7	0.682478
8	0.73118
9	0.781509
10	0.819279
11	0.84434
12	0.872802
13	0.897929
14	0.911435
15	0.926728
16	0.951031
17	0.971584
18	0.986813
19	1.002081
20	1.028816
21	1.051648
22	1.064139
23	1.06835
24	1.081003
25	1.084803
26	1.090162
27	1.102235
28	1.104743
29	1.108435
30	1.105555
31	1.115038
32	1.118311
33	1.123728
34	1.132618
35	1.134244
36	1.142116
37	1.14808
38	1.144301
39	1.156007
40	1.161124
41	1.160685
42	1.166363
43	1.173272
44	1.180412
45	1.185334
46	1.188084
47	1.192742
48	1.191945
49	1.189428
50	1.184448
51	1.184257
52	1.189539
53	1.18992
54	1.184312
55	1.185362
56	1.184417
57	1.182695
58	1.183511
59	1.182059
60	1.17739
61	1.169436
62	1.163275
63	1.1549
64	1.152113
65	1.15071
66	1.147946
67	1.137016
68	1.138403
69	1.132779
70	1.126812
71	1.122563
72	1.121774
73	1.124504
74	1.117341
75	1.098648
76	1.09203
77	1.080903
78	1.066118
79	1.05388
80	1.04852
81	1.054562
82	1.064313
83	1.049705
84	1.028798
85	1.007315
86	0.984128
87	0.961758
88	0.940937
89	0.904552
90	0.881402
91	0.853526
92	0.825246
93	0.791488
94	0.752579
95	0.705585
96	0.654313
97	0.598162
98	0.54012
99	0.48962
100	0.457676

