## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DJ.bam OUTPUT=bam/MCL1.DJ.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:58 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2961428400	2819943687		1600462128	947182220	183384905	88914434	0	0	0	11167557	11122212	98507	0.501017	0.498983		0.567551	0.335887	0.065031	0.031531	0.903438	0.860276	0	0.398894	0.457425	0.460873	0.820131			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.269051
1	0.32043
2	0.393318
3	0.462762
4	0.526603
5	0.58541
6	0.639814
7	0.689824
8	0.739044
9	0.790892
10	0.830309
11	0.857799
12	0.884072
13	0.90878
14	0.918988
15	0.932181
16	0.952128
17	0.967888
18	0.982998
19	1.000681
20	1.02912
21	1.050626
22	1.059638
23	1.063514
24	1.070852
25	1.078487
26	1.089096
27	1.101657
28	1.102881
29	1.10718
30	1.104971
31	1.113168
32	1.117062
33	1.124734
34	1.13281
35	1.134606
36	1.139635
37	1.142413
38	1.140836
39	1.153853
40	1.159194
41	1.159363
42	1.165496
43	1.171614
44	1.17992
45	1.186681
46	1.190029
47	1.194539
48	1.196168
49	1.197338
50	1.195629
51	1.197391
52	1.19712
53	1.19536
54	1.188961
55	1.185482
56	1.183063
57	1.185091
58	1.184542
59	1.18349
60	1.177391
61	1.169952
62	1.166654
63	1.159459
64	1.1566
65	1.157412
66	1.151005
67	1.140923
68	1.143116
69	1.137246
70	1.131503
71	1.129325
72	1.124351
73	1.120939
74	1.113286
75	1.092341
76	1.084119
77	1.075338
78	1.061333
79	1.046765
80	1.038605
81	1.046316
82	1.055405
83	1.042642
84	1.022908
85	1.003614
86	0.978661
87	0.953861
88	0.931556
89	0.898991
90	0.87697
91	0.848489
92	0.818668
93	0.785551
94	0.745445
95	0.699941
96	0.651484
97	0.594464
98	0.536719
99	0.485287
100	0.450418

