## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DK.bam OUTPUT=bam/MCL1.DK.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:58 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2722501200	2606419620		1476076994	907202876	148195094	74944656	0	0	0	10544380	10447000	83885	0.50232	0.49768		0.566324	0.348065	0.056858	0.028754	0.914388	0.875401	0	0.395701	0.423709	0.465119	0.761787			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.24211
1	0.291375
2	0.365394
3	0.432724
4	0.498056
5	0.557687
6	0.616064
7	0.669972
8	0.720694
9	0.764735
10	0.816275
11	0.843956
12	0.873616
13	0.898706
14	0.912752
15	0.923914
16	0.940008
17	0.959617
18	0.976817
19	0.995425
20	1.027406
21	1.052256
22	1.061337
23	1.065382
24	1.075614
25	1.079873
26	1.083078
27	1.094355
28	1.096653
29	1.100362
30	1.097215
31	1.10838
32	1.115024
33	1.119399
34	1.128532
35	1.133023
36	1.143412
37	1.151121
38	1.151955
39	1.161045
40	1.163217
41	1.161545
42	1.170955
43	1.174075
44	1.182057
45	1.188669
46	1.18922
47	1.193714
48	1.195736
49	1.19594
50	1.194846
51	1.197037
52	1.195434
53	1.188116
54	1.176666
55	1.175313
56	1.178648
57	1.181347
58	1.183498
59	1.182438
60	1.178065
61	1.169797
62	1.169965
63	1.159536
64	1.156875
65	1.159421
66	1.158328
67	1.151528
68	1.15145
69	1.142946
70	1.138041
71	1.132266
72	1.12704
73	1.120883
74	1.108837
75	1.101373
76	1.098448
77	1.089939
78	1.075126
79	1.063786
80	1.055897
81	1.063167
82	1.065518
83	1.051988
84	1.03728
85	1.019883
86	0.990543
87	0.960716
88	0.939081
89	0.91677
90	0.890691
91	0.863358
92	0.833245
93	0.800765
94	0.763576
95	0.715956
96	0.666422
97	0.608889
98	0.545902
99	0.489693
100	0.453711

