## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DL.bam OUTPUT=bam/MCL1.DL.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:58 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2543315700	2430759266		1371787469	846489664	146155474	66326659	0	0	0	9800436	9771750	76780	0.500733	0.499267		0.564345	0.348241	0.060127	0.027286	0.912586	0.872199	0	0.386208	0.447818	0.458343	0.787325			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.256777
1	0.306554
2	0.381138
3	0.450063
4	0.517138
5	0.578715
6	0.635892
7	0.688471
8	0.735946
9	0.778094
10	0.831005
11	0.858097
12	0.884417
13	0.907337
14	0.919612
15	0.934716
16	0.951538
17	0.968154
18	0.983303
19	1.000901
20	1.033712
21	1.056263
22	1.06306
23	1.065333
24	1.073613
25	1.082327
26	1.093361
27	1.103392
28	1.105635
29	1.110296
30	1.106473
31	1.115927
32	1.123579
33	1.130509
34	1.138839
35	1.139552
36	1.148733
37	1.154473
38	1.151837
39	1.15981
40	1.162291
41	1.160899
42	1.168321
43	1.170935
44	1.176736
45	1.180657
46	1.181921
47	1.184427
48	1.184073
49	1.180008
50	1.179027
51	1.179142
52	1.178084
53	1.174591
54	1.170174
55	1.168498
56	1.169493
57	1.168492
58	1.167059
59	1.163053
60	1.160607
61	1.154774
62	1.155201
63	1.147289
64	1.145215
65	1.146723
66	1.145396
67	1.139383
68	1.138908
69	1.12968
70	1.12363
71	1.121308
72	1.116513
73	1.107709
74	1.095794
75	1.088989
76	1.087007
77	1.081788
78	1.069098
79	1.059108
80	1.051043
81	1.052836
82	1.053325
83	1.04191
84	1.028804
85	1.012481
86	0.989253
87	0.963218
88	0.944063
89	0.926038
90	0.903515
91	0.87593
92	0.84874
93	0.818022
94	0.777077
95	0.726957
96	0.677158
97	0.617125
98	0.548156
99	0.489575
100	0.451643

