## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DM.bam OUTPUT=bam/MCL1.DM.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 13:13:14 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
976512200	946337030		535739037	323630361	62564076	24403556	0	0	0	3779877	3762427	33475	0.501157	0.498843		0.566119	0.341982	0.066112	0.025787	0.908101	0.88004	0	0.41022	0.450903	0.462885	0.787348			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.258271
1	0.311955
2	0.381867
3	0.446435
4	0.508329
5	0.563525
6	0.616697
7	0.667733
8	0.717081
9	0.761583
10	0.800858
11	0.825033
12	0.85077
13	0.876033
14	0.888827
15	0.903703
16	0.923113
17	0.938309
18	0.956943
19	0.973077
20	1.001359
21	1.029069
22	1.039386
23	1.041382
24	1.05074
25	1.062576
26	1.075038
27	1.088134
28	1.093412
29	1.10125
30	1.104018
31	1.113238
32	1.114725
33	1.121416
34	1.135534
35	1.139177
36	1.148288
37	1.150603
38	1.146207
39	1.161577
40	1.174525
41	1.169601
42	1.17616
43	1.182693
44	1.183245
45	1.18551
46	1.185697
47	1.184041
48	1.189421
49	1.191573
50	1.190782
51	1.191408
52	1.191032
53	1.193446
54	1.193433
55	1.192547
56	1.188944
57	1.184026
58	1.1858
59	1.179172
60	1.177957
61	1.174682
62	1.169708
63	1.16107
64	1.158414
65	1.160065
66	1.160717
67	1.149591
68	1.143808
69	1.134792
70	1.126576
71	1.124872
72	1.12673
73	1.130196
74	1.123218
75	1.102605
76	1.096333
77	1.087244
78	1.073355
79	1.063147
80	1.056559
81	1.059388
82	1.071515
83	1.061977
84	1.046447
85	1.028622
86	1.00498
87	0.979064
88	0.95781
89	0.923582
90	0.901421
91	0.874067
92	0.848653
93	0.812365
94	0.77241
95	0.723484
96	0.671334
97	0.617357
98	0.561332
99	0.515496
100	0.481709

