## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.LA.bam OUTPUT=bam/MCL1.LA.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:59 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2791948100	2672020261		1510529215	877025205	206011780	78454061	0	0	0	10337637	10298149	106349	0.500957	0.499043		0.565314	0.328226	0.0771	0.029361	0.893539	0.855157	0	0.430328	0.454882	0.45644	0.796786			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.276042
1	0.321417
2	0.389882
3	0.450085
4	0.505473
5	0.556327
6	0.603354
7	0.656516
8	0.708759
9	0.758027
10	0.816776
11	0.842694
12	0.866453
13	0.890225
14	0.902655
15	0.913307
16	0.934106
17	0.954262
18	0.978526
19	0.997816
20	1.02468
21	1.045806
22	1.056194
23	1.061852
24	1.06738
25	1.074998
26	1.088825
27	1.109546
28	1.113541
29	1.119121
30	1.117029
31	1.127951
32	1.13053
33	1.13611
34	1.147593
35	1.149669
36	1.154332
37	1.15854
38	1.156928
39	1.161428
40	1.170991
41	1.1634
42	1.170113
43	1.183139
44	1.18905
45	1.189108
46	1.187825
47	1.181883
48	1.183785
49	1.184252
50	1.182237
51	1.189759
52	1.184999
53	1.183539
54	1.17577
55	1.174162
56	1.169746
57	1.171421
58	1.170659
59	1.170182
60	1.172671
61	1.168685
62	1.166841
63	1.16679
64	1.168701
65	1.168083
66	1.169149
67	1.162676
68	1.162829
69	1.157333
70	1.149906
71	1.145258
72	1.151286
73	1.154278
74	1.148669
75	1.130206
76	1.122546
77	1.112064
78	1.096579
79	1.083098
80	1.070257
81	1.071592
82	1.076148
83	1.060673
84	1.038491
85	1.019752
86	0.990262
87	0.958216
88	0.92863
89	0.891988
90	0.864308
91	0.829545
92	0.794014
93	0.753604
94	0.712747
95	0.670372
96	0.625673
97	0.571221
98	0.516843
99	0.472428
100	0.440697

