## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.LB.bam OUTPUT=bam/MCL1.LB.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:59 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2973103100	2837808211		1607879603	934702152	208039672	87186784	0	0	0	10987636	10960410	114912	0.50062	0.49938		0.566592	0.329375	0.07331	0.030723	0.895967	0.855195	0	0.421199	0.479732	0.441742	0.799614			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.281928
1	0.327215
2	0.394527
3	0.456147
4	0.514455
5	0.567188
6	0.612338
7	0.663221
8	0.71242
9	0.759888
10	0.815909
11	0.843087
12	0.869559
13	0.893945
14	0.905363
15	0.917569
16	0.93653
17	0.95716
18	0.980435
19	0.999197
20	1.024497
21	1.044507
22	1.054102
23	1.059528
24	1.063582
25	1.071466
26	1.087321
27	1.108878
28	1.115467
29	1.123262
30	1.123814
31	1.134908
32	1.137054
33	1.142846
34	1.156099
35	1.159998
36	1.166057
37	1.168893
38	1.164177
39	1.169606
40	1.179697
41	1.173044
42	1.174923
43	1.183634
44	1.187838
45	1.19039
46	1.190215
47	1.183536
48	1.18568
49	1.188102
50	1.187966
51	1.184388
52	1.180492
53	1.177746
54	1.171396
55	1.167975
56	1.163745
57	1.1641
58	1.165759
59	1.167513
60	1.175786
61	1.17803
62	1.177944
63	1.175433
64	1.175164
65	1.174634
66	1.172573
67	1.160523
68	1.157519
69	1.152235
70	1.143301
71	1.138981
72	1.142614
73	1.142637
74	1.137776
75	1.120534
76	1.112857
77	1.102589
78	1.087083
79	1.073075
80	1.062741
81	1.064969
82	1.071171
83	1.055003
84	1.032885
85	1.012474
86	0.982471
87	0.953227
88	0.922775
89	0.885088
90	0.857308
91	0.822877
92	0.787159
93	0.749362
94	0.711043
95	0.66813
96	0.623182
97	0.568591
98	0.51616
99	0.474647
100	0.443873

