## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.LC.bam OUTPUT=bam/MCL1.LC.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:59 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2987907000	2848641768		1743778275	869353289	168411363	67098841	0	0	0	11310688	11283464	103643	0.500602	0.499398		0.612144	0.305182	0.05912	0.023555	0.917325	0.874569	0	0.419698	0.448937	0.453994	0.74012			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.250994
1	0.297123
2	0.369245
3	0.428537
4	0.486345
5	0.54818
6	0.595094
7	0.633821
8	0.685962
9	0.735278
10	0.773243
11	0.797799
12	0.826382
13	0.854249
14	0.87283
15	0.890956
16	0.915082
17	0.93445
18	0.953488
19	0.971166
20	0.998779
21	1.023513
22	1.039791
23	1.046064
24	1.052695
25	1.062919
26	1.079506
27	1.09966
28	1.105094
29	1.109874
30	1.110083
31	1.121548
32	1.128086
33	1.13814
34	1.152536
35	1.15907
36	1.167271
37	1.173702
38	1.172417
39	1.174746
40	1.19137
41	1.190919
42	1.196992
43	1.208215
44	1.208629
45	1.21189
46	1.214987
47	1.211053
48	1.212625
49	1.212502
50	1.211743
51	1.209664
52	1.206204
53	1.201492
54	1.192252
55	1.189621
56	1.180015
57	1.175487
58	1.174671
59	1.176601
60	1.180031
61	1.174475
62	1.173234
63	1.170515
64	1.171456
65	1.171638
66	1.175658
67	1.165314
68	1.161428
69	1.155398
70	1.14857
71	1.145381
72	1.148069
73	1.152799
74	1.149847
75	1.132225
76	1.120449
77	1.107153
78	1.089096
79	1.076415
80	1.06428
81	1.068335
82	1.078957
83	1.064574
84	1.041104
85	1.022435
86	0.995923
87	0.964402
88	0.935283
89	0.897712
90	0.868618
91	0.833187
92	0.797702
93	0.762487
94	0.72452
95	0.683342
96	0.639788
97	0.58826
98	0.536804
99	0.496298
100	0.463287

