## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.LD.bam OUTPUT=bam/MCL1.LD.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:59 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2924538800	2802038919		1712836303	862804101	164003980	62394535	0	0	0	11230398	11161480	95053	0.501539	0.498461		0.611282	0.30792	0.05853	0.022268	0.919202	0.8807	0	0.424641	0.424835	0.440648	0.731471			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.269341
1	0.312332
2	0.381614
3	0.441001
4	0.495052
5	0.548393
6	0.587914
7	0.631565
8	0.685306
9	0.730572
10	0.766858
11	0.792341
12	0.820597
13	0.845273
14	0.86161
15	0.880429
16	0.908719
17	0.932369
18	0.956061
19	0.97629
20	1.002817
21	1.025727
22	1.040178
23	1.045874
24	1.054496
25	1.066481
26	1.081305
27	1.097957
28	1.103447
29	1.108916
30	1.110581
31	1.122298
32	1.129935
33	1.136258
34	1.14934
35	1.154808
36	1.161566
37	1.167846
38	1.166344
39	1.16875
40	1.182146
41	1.184355
42	1.190516
43	1.200075
44	1.201337
45	1.206605
46	1.208452
47	1.203609
48	1.209068
49	1.215868
50	1.215663
51	1.211541
52	1.207469
53	1.204311
54	1.196778
55	1.193186
56	1.184577
57	1.183797
58	1.181845
59	1.185106
60	1.185755
61	1.178656
62	1.176337
63	1.174136
64	1.175361
65	1.175639
66	1.176167
67	1.164613
68	1.160644
69	1.154335
70	1.149887
71	1.149045
72	1.152322
73	1.156041
74	1.153529
75	1.132743
76	1.120504
77	1.111244
78	1.096564
79	1.08703
80	1.076464
81	1.076406
82	1.082098
83	1.066971
84	1.043216
85	1.023932
86	0.995832
87	0.963305
88	0.934386
89	0.898566
90	0.869178
91	0.834202
92	0.799952
93	0.762526
94	0.723679
95	0.681043
96	0.636275
97	0.578356
98	0.523152
99	0.480605
100	0.44689

