## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.LF.bam OUTPUT=bam/MCL1.LF.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:59 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
3127606100	2989793142		2015233062	817508995	113787419	43263666	0	0	0	12511492	12492009	68574	0.50039	0.49961		0.674038	0.273433	0.038059	0.01447	0.947471	0.905722	0	0.429838	0.443531	0.446988	0.767011			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.245366
1	0.292938
2	0.370941
3	0.441523
4	0.504951
5	0.565172
6	0.608766
7	0.649727
8	0.697274
9	0.744848
10	0.783378
11	0.808906
12	0.840928
13	0.866752
14	0.881837
15	0.906781
16	0.932914
17	0.953177
18	0.971525
19	0.989598
20	1.019149
21	1.041395
22	1.052575
23	1.056379
24	1.059778
25	1.06636
26	1.080739
27	1.095875
28	1.10577
29	1.112895
30	1.1157
31	1.127283
32	1.131493
33	1.143568
34	1.155225
35	1.162878
36	1.171377
37	1.18078
38	1.181256
39	1.184214
40	1.194746
41	1.191205
42	1.196123
43	1.202258
44	1.197754
45	1.20032
46	1.199669
47	1.199038
48	1.201447
49	1.203403
50	1.202162
51	1.198767
52	1.196702
53	1.195267
54	1.189755
55	1.185327
56	1.180781
57	1.180761
58	1.182826
59	1.18256
60	1.182668
61	1.180776
62	1.187819
63	1.18807
64	1.183219
65	1.180963
66	1.177784
67	1.169884
68	1.168719
69	1.163104
70	1.152744
71	1.15065
72	1.148141
73	1.151797
74	1.146422
75	1.129845
76	1.114083
77	1.101578
78	1.082725
79	1.070083
80	1.060899
81	1.060956
82	1.061461
83	1.042311
84	1.02046
85	1.003284
86	0.97939
87	0.952122
88	0.921966
89	0.879966
90	0.847688
91	0.815257
92	0.785082
93	0.752252
94	0.714405
95	0.670368
96	0.623736
97	0.569603
98	0.514418
99	0.469793
100	0.440985

