## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.LG.bam OUTPUT=bam/MCL1.LG.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 13:34:47 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2693630100	2571452143		1447928649	869932813	175129722	78460959	0	0	0	10166347	10117396	91633	0.501207	0.498793		0.563078	0.338304	0.068105	0.030512	0.901382	0.860497	0	0.399861	0.455815	0.451649	0.80801			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.020689
1	0.030474
2	0.064161
3	0.11508
4	0.189759
5	0.265571
6	0.35371
7	0.441685
8	0.528142
9	0.58992
10	0.631475
11	0.674507
12	0.702516
13	0.759749
14	0.808441
15	0.838323
16	0.853285
17	0.866372
18	0.901042
19	0.945667
20	0.978537
21	1.003742
22	1.00392
23	0.991992
24	0.9985
25	0.998277
26	1.009392
27	1.011514
28	1.013605
29	1.033804
30	1.045433
31	1.051292
32	1.032682
33	1.02974
34	1.041402
35	1.055446
36	1.048971
37	1.035162
38	1.029434
39	1.024556
40	1.027489
41	1.029552
42	1.03679
43	1.037624
44	1.036536
45	1.028318
46	1.036342
47	1.049433
48	1.058601
49	1.072829
50	1.084774
51	1.08886
52	1.096125
53	1.109168
54	1.118954
55	1.110363
56	1.108598
57	1.110385
58	1.111645
59	1.112476
60	1.114036
61	1.126006
62	1.132462
63	1.127968
64	1.127275
65	1.14664
66	1.15532
67	1.155954
68	1.166677
69	1.162738
70	1.180721
71	1.185308
72	1.190598
73	1.194318
74	1.206694
75	1.232508
76	1.222954
77	1.233273
78	1.243566
79	1.253845
80	1.242001
81	1.240224
82	1.256333
83	1.252664
84	1.270998
85	1.292167
86	1.30442
87	1.310865
88	1.29724
89	1.308158
90	1.322043
91	1.326688
92	1.326136
93	1.291012
94	1.257998
95	1.189707
96	1.124015
97	0.978982
98	0.766843
99	0.519832
100	0.303268

