Sample	Picard_mqc-generalstats-picard-PF_HQ_ERROR_RATE	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-PCT_MRNA_BASES	Picard_mqc-generalstats-picard-PF_MISMATCH_RATE	Picard_mqc-generalstats-picard-TOTAL_READS	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-PCT_RIBOSOMAL_BASES
MCL1.DG	0.0021	0.971383	90.8142	0.002055	30109290.0	0.558192	
MCL1.DH	0.002123	0.969124	91.1633	0.002077	28322351.0	0.58523	
MCL1.DI	0.002184	0.957619	90.1399	0.002137	31688348.0	0.577698	
MCL1.DJ	0.002215	0.955324	90.3438	0.002167	29614284.0	0.576303	
MCL1.DK	0.002173	0.960464	91.4388	0.002126	27225012.0	0.56991	
MCL1.DL	0.002193	0.95876	91.2586	0.002147	25433157.0	0.553886	
MCL1.DM	0.0021	0.97145	90.8101	0.002055	9765122.0	0.40365	
MCL1.LA	0.002145	0.960408	89.3539	0.00209	27919481.0	0.578625	
MCL1.LB	0.002188	0.957449	89.5967	0.002129	29731031.0	0.561685	
MCL1.LC	0.00211	0.955712	91.7325	0.002048	29879070.0	0.643848	
MCL1.LD	0.002062	0.960506	91.9202	0.002004	29245388.0	0.658928	
MCL1.LE	0.001992	0.955755	94.8638	0.001955	31425424.0	0.770191	
MCL1.LF	0.001996	0.958422	94.7471	0.001953	31276061.0	0.767531	
MCL1.LG	0.002184	0.957616	90.1382	0.002137	26936301.0	0.555755	
