Sample	PF_HQ_ALIGNED_READS	READS_ALIGNED_IN_PAIRS	MEAN_READ_LENGTH	BAD_CYCLES	PF_INDEL_RATE	PCT_READS_ALIGNED_IN_PAIRS	TOTAL_READS	PCT_CHIMERAS	PF_HQ_ERROR_RATE	PF_ALIGNED_BASES	PCT_PF_READS	LIBRARY	PF_READS	PCT_ADAPTER	PCT_PF_READS_ALIGNED	READ_GROUP	SAMPLE	PF_NOISE_READS	STRAND_BALANCE	PF_HQ_ALIGNED_Q20_BASES	CATEGORY	PF_HQ_MEDIAN_MISMATCHES	PF_HQ_ALIGNED_BASES	PF_MISMATCH_RATE	PF_READS_ALIGNED
MCL1.DG	26926094.0	0.0	100.0	0.0	0.000146	0.0	30109290.0	0.0	0.0021	2917694751.0	1.0		30109290.0	0.000207	0.971383			0.0	0.500038	2625084454.0	UNPAIRED	0.0	2685997245.0	0.002055	29247646.0
MCL1.DH	25171865.0	0.0	100.0	0.0	0.000148	0.0	28322351.0	0.0	0.002123	2736546040.0	1.0		28322351.0	0.000126	0.969124			0.0	0.500047	2452290359.0	UNPAIRED	0.0	2509538345.0	0.002077	27447859.0
MCL1.DI	28041588.0	0.0	100.0	0.0	0.000162	0.0	31688348.0	0.0	0.002184	3025114939.0	1.0		31688348.0	0.000176	0.957619			0.0	0.500003	2732916507.0	UNPAIRED	0.0	2795334466.0	0.002137	30345362.0
MCL1.DJ	26111710.0	0.0	100.0	0.0	0.000159	0.0	29614284.0	0.0	0.002215	2819943687.0	1.0		29614284.0	0.000166	0.955324			0.0	0.500164	2543372151.0	UNPAIRED	0.0	2602584629.0	0.002167	28291227.0
MCL1.DK	24323296.0	0.0	100.0	0.0	0.000158	0.0	27225012.0	0.0	0.002173	2606419620.0	1.0		27225012.0	7.7e-05	0.960464			0.0	0.500099	2370144972.0	UNPAIRED	0.0	2424369002.0	0.002126	26148650.0
MCL1.DL	22739331.0	0.0	100.0	0.0	0.000155	0.0	25433157.0	0.0	0.002193	2430759266.0	1.0		25433157.0	0.000166	0.95876			0.0	0.500001	2214007687.0	UNPAIRED	0.0	2266690568.0	0.002147	24384292.0
MCL1.DM	8733750.0	0.0	100.0	0.0	0.000146	0.0	9765122.0	0.0	0.0021	946337030.0	1.0		9765122.0	0.000204	0.97145			0.0	0.499931	851497620.0	UNPAIRED	0.0	871228135.0	0.002055	9486329.0
MCL1.LA	24354177.0	0.0	100.0	0.0	0.000155	0.0	27919481.0	0.0	0.002145	2672020261.0	1.0		27919481.0	0.000177	0.960408			0.0	0.500319	2367212854.0	UNPAIRED	0.0	2426785004.0	0.00209	26814100.0
MCL1.LB	25876424.0	0.0	100.0	0.0	0.000152	0.0	29731031.0	0.0	0.002188	2837808211.0	1.0		29731031.0	0.000146	0.957449			0.0	0.500271	2514864302.0	UNPAIRED	0.0	2579531601.0	0.002129	28465960.0
MCL1.LC	25935875.0	0.0	100.0	0.0	0.000141	0.0	29879070.0	0.0	0.00211	2848641768.0	1.0		29879070.0	8.7e-05	0.955712			0.0	0.50045	2525373355.0	UNPAIRED	0.0	2587151258.0	0.002048	28555781.0
MCL1.LD	25598466.0	0.0	100.0	0.0	0.000138	0.0	29245388.0	0.0	0.002062	2802038919.0	1.0		29245388.0	8.5e-05	0.960506			0.0	0.500811	2494518623.0	UNPAIRED	0.0	2553342532.0	0.002004	28090361.0
MCL1.LE	27964957.0	0.0	100.0	0.0	0.000119	0.0	31425424.0	0.0	0.001992	2995566750.0	1.0		31425424.0	0.000135	0.955755			0.0	0.500829	2729584450.0	UNPAIRED	0.0	2789027580.0	0.001955	30035002.0
MCL1.LF	27893151.0	0.0	100.0	0.0	0.000119	0.0	31276061.0	0.0	0.001996	2989793142.0	1.0		31276061.0	9.6e-05	0.958422			0.0	0.500916	2723164535.0	UNPAIRED	0.0	2781998603.0	0.001953	29975666.0
MCL1.LG	23836384.0	0.0	100.0	0.0	0.000162	0.0	26936301.0	0.0	0.002184	2571452143.0	1.0		26936301.0	0.000175	0.957616			0.0	0.500025	2323075371.0	UNPAIRED	0.0	2376133940.0	0.002137	25794641.0
