Sample	PCT_CODING_BASES	RIBOSOMAL_BASES	PF_NOT_ALIGNED_BASES	PCT_MRNA_BASES	CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	MEDIAN_3PRIME_BIAS	PF_ALIGNED_BASES	LIBRARY	MEDIAN_5PRIME_BIAS	PCT_USABLE_BASES	PF_BASES	READ_GROUP	NUM_UNEXPLAINED_READS	IGNORED_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_R1_TRANSCRIPT_STRAND_READS	SAMPLE	INTERGENIC_BASES	NUM_R1_TRANSCRIPT_STRAND_READS	INTRONIC_BASES	NUM_R2_TRANSCRIPT_STRAND_READS	MEDIAN_5PRIME_TO_3PRIME_BIAS	PCT_INTERGENIC_BASES	PCT_CORRECT_STRAND_READS	INCORRECT_STRAND_READS	CODING_BASES	UTR_BASES	PCT_UTR_BASES
MCL1.DG	56.6256		93234249.0	90.8142	0.0	0.40297		6.6066	0.445519	2917694751.0		0.44279	88.0021	3010929000.0		103769.0	0.0	49.8864	50.1136		75253603.0	11653584.0	192760542.0	11600757.0	0.800695	2.5792	0.0	0.0	1652162426.0	997518180.0	34.1886
MCL1.DH	56.8167		95689060.0	91.1633	0.0	0.409788		5.8942	0.44903	2736546040.0		0.441764	88.0833	2832235100.0		100048.0	0.0	49.8415	50.1585		80524464.0	10952663.0	161296189.0	10883439.0	0.839747	2.9426	0.0	0.0	1554816223.0	939909164.0	34.3466
MCL1.DI	56.3116		143719861.0	90.1399	0.0	0.399944		6.8083	0.453655	3025114939.0		0.461129	86.0516	3168834800.0		107767.0	0.0	49.8784	50.1216		92322722.0	11960208.0	205957794.0	11902171.0	0.797959	3.0519	0.0	0.0	1703489601.0	1023344822.0	33.8283
MCL1.DJ	56.7551		141484713.0	90.3438	0.0	0.398894		6.5031	0.460873	2819943687.0		0.457425	86.0276	2961428400.0		98507.0	0.0	49.8983	50.1017		88914434.0	11167557.0	183384905.0	11122212.0	0.820131	3.1531	0.0	0.0	1600462128.0	947182220.0	33.5887
MCL1.DK	56.6324		116081580.0	91.4388	0.0	0.395701		5.6858	0.465119	2606419620.0		0.423709	87.5401	2722501200.0		83885.0	0.0	49.768	50.232		74944656.0	10544380.0	148195094.0	10447000.0	0.761787	2.8754	0.0	0.0	1476076994.0	907202876.0	34.8065
MCL1.DL	56.4345		112556434.0	91.2586	0.0	0.386208		6.0127	0.458343	2430759266.0		0.447818	87.2199	2543315700.0		76780.0	0.0	49.9267	50.0733		66326659.0	9800436.0	146155474.0	9771750.0	0.787325	2.7286	0.0	0.0	1371787469.0	846489664.0	34.8241
MCL1.DM	56.6119		30175170.0	90.8101	0.0	0.41022		6.6112	0.462885	946337030.0		0.450903	88.004	976512200.0		33475.0	0.0	49.8843	50.1157		24403556.0	3779877.0	62564076.0	3762427.0	0.787348	2.5787	0.0	0.0	535739037.0	323630361.0	34.1982
MCL1.LA	56.5314		119927839.0	89.3539	0.0	0.430328		7.71	0.45644	2672020261.0		0.454882	85.5157	2791948100.0		106349.0	0.0	49.9043	50.0957		78454061.0	10337637.0	206011780.0	10298149.0	0.796786	2.9361	0.0	0.0	1510529215.0	877025205.0	32.8226
MCL1.LB	56.6592		135294889.0	89.5967	0.0	0.421199		7.331	0.441742	2837808211.0		0.479732	85.5195	2973103100.0		114912.0	0.0	49.938	50.062		87186784.0	10987636.0	208039672.0	10960410.0	0.799614	3.0723	0.0	0.0	1607879603.0	934702152.0	32.9375
MCL1.LC	61.2144		139265232.0	91.7325	0.0	0.419698		5.912	0.453994	2848641768.0		0.448937	87.4569	2987907000.0		103643.0	0.0	49.9398	50.0602		67098841.0	11310688.0	168411363.0	11283464.0	0.74012	2.3555	0.0	0.0	1743778275.0	869353289.0	30.5182
MCL1.LD	61.1282		122499881.0	91.9202	0.0	0.424641		5.853	0.440648	2802038919.0		0.424835	88.07	2924538800.0		95053.0	0.0	49.8461	50.1539		62394535.0	11230398.0	164003980.0	11161480.0	0.731471	2.2268	0.0	0.0	1712836303.0	862804101.0	30.792
MCL1.LE	68.0152		146975650.0	94.8638	0.0	0.42063		3.5776	0.451436	2995566750.0		0.459918	90.4271	3142542400.0		74701.0	0.0	49.8915	50.1085		46689839.0	12535805.0	107168188.0	12481511.0	0.785671	1.5586	0.0	0.0	2037440320.0	804268403.0	26.8486
MCL1.LF	67.4038		137812958.0	94.7471	0.0	0.429838		3.8059	0.446988	2989793142.0		0.443531	90.5722	3127606100.0		68574.0	0.0	49.961	50.039		43263666.0	12511492.0	113787419.0	12492009.0	0.767011	1.447	0.0	0.0	2015233062.0	817508995.0	27.3433
MCL1.LG	56.3078		122177957.0	90.1382	0.0	0.399861		6.8105	0.451649	2571452143.0		0.455815	86.0497	2693630100.0		91633.0	0.0	49.8793	50.1207		78460959.0	10166347.0	175129722.0	10117396.0	0.80801	3.0512	0.0	0.0	1447928649.0	869932813.0	33.8304
