Sample	UNMAPPED_READS	ESTIMATED_LIBRARY_SIZE	READ_PAIR_OPTICAL_DUPLICATES	READ_PAIRS_EXAMINED	UNPAIRED_READS_EXAMINED	PERCENT_DUPLICATION	LIBRARY	READ_PAIR_DUPLICATES	UNPAIRED_READ_DUPLICATES	SECONDARY_OR_SUPPLEMENTARY_RDS
MCL1.DG	861644.0		0.0	0.0	29247646.0	0.558192	Unknown Library	0.0	16325803.0	5166842.0
MCL1.DH	874492.0		0.0	0.0	27447859.0	0.58523	Unknown Library	0.0	16063306.0	5207439.0
MCL1.DI	1342986.0		0.0	0.0	30345362.0	0.577698	Unknown Library	0.0	17530467.0	5211544.0
MCL1.DJ	1323057.0		0.0	0.0	28291227.0	0.576303	Unknown Library	0.0	16304331.0	5027742.0
MCL1.DK	1076362.0		0.0	0.0	26148650.0	0.56991	Unknown Library	0.0	14902388.0	3779209.0
MCL1.DL	1048865.0		0.0	0.0	24384292.0	0.553886	Unknown Library	0.0	13506123.0	3447661.0
MCL1.DM	278793.0		0.0	0.0	9486329.0	0.40365	Unknown Library	0.0	3829156.0	1676215.0
MCL1.LA	1105381.0		0.0	0.0	26814100.0	0.578625	Unknown Library	0.0	15515304.0	5519032.0
MCL1.LB	1265071.0		0.0	0.0	28465960.0	0.561685	Unknown Library	0.0	15988894.0	5793531.0
MCL1.LC	1323289.0		0.0	0.0	28555781.0	0.643848	Unknown Library	0.0	18385584.0	5178158.0
MCL1.LD	1155027.0		0.0	0.0	28090361.0	0.658928	Unknown Library	0.0	18509531.0	4859151.0
MCL1.LE	1390422.0		0.0	0.0	30035002.0	0.770191	Unknown Library	0.0	23132685.0	4135500.0
MCL1.LF	1300395.0		0.0	0.0	29975666.0	0.767531	Unknown Library	0.0	23007241.0	3988656.0
MCL1.LG	1141660.0		0.0	0.0	25794641.0	0.555755	Unknown Library	0.0	14335510.0	4429492.0
