Module	Section	Sample Name	Source
Picard	RnaSeqMetrics	MCL1.DM	/multiqc/MCL1.DM.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.LA	/multiqc/MCL1.LA.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.DL	/multiqc/MCL1.DL.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.LF	/multiqc/MCL1.LF.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.LG	/multiqc/MCL1.LG.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.LD	/multiqc/MCL1.LD.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.LE	/multiqc/MCL1.LE.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.DJ	/multiqc/MCL1.DJ.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.LC	/multiqc/MCL1.LC.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.DH	/multiqc/MCL1.DH.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.DI	/multiqc/MCL1.DI.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.LB	/multiqc/MCL1.LB.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.DG	/multiqc/MCL1.DG.rna_metrics.txt
Picard	RnaSeqMetrics	MCL1.DK	/multiqc/MCL1.DK.rna_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.DJ	/multiqc/MCL1.DJ.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.DM	/multiqc/MCL1.DM.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.DI	/multiqc/MCL1.DI.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.LD	/multiqc/MCL1.LD.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.LF	/multiqc/MCL1.LF.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.LG	/multiqc/MCL1.LG.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.DL	/multiqc/MCL1.DL.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.LE	/multiqc/MCL1.LE.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.LB	/multiqc/MCL1.LB.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.LC	/multiqc/MCL1.LC.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.DH	/multiqc/MCL1.DH.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.LA	/multiqc/MCL1.LA.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.DG	/multiqc/MCL1.DG.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	MCL1.DK	/multiqc/MCL1.DK.alignment_metrics.txt
Picard	DuplicationMetrics	MCL1.DM	/multiqc/MCL1.DM.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.LA	/multiqc/MCL1.LA.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.DL	/multiqc/MCL1.DL.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.LF	/multiqc/MCL1.LF.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.LG	/multiqc/MCL1.LG.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.LD	/multiqc/MCL1.LD.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.LE	/multiqc/MCL1.LE.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.LB	/multiqc/MCL1.LB.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.LC	/multiqc/MCL1.LC.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.DH	/multiqc/MCL1.DH.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.DI	/multiqc/MCL1.DI.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.DJ	/multiqc/MCL1.DJ.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.DG	/multiqc/MCL1.DG.mkdup.bam.metrics.txt
Picard	DuplicationMetrics	MCL1.DK	/multiqc/MCL1.DK.mkdup.bam.metrics.txt
