transcript_id,SRR1048058,SRR1048059,SRR1048060,SRR1048061,SRR1048062,SRR1048063
ENSDART00000055861,0,35,0,0,0,30
MSTRG.28358.1,0,0,0,11,0,0
ENSDART00000109257,94,1179,1688,1514,1186,3016
ENSDART00000083063,7,271,138,277,416,582
ENSDART00000109252,0,57,203,150,214,237
MSTRG.43179.1,0,4,0,0,14,3
ENSDART00000083066,13,222,970,128,206,496
ENSDART00000109251,0,1,130,91,0,0
MSTRG.14117.1,0,43,20,103,48,48
ENSDART00000109258,0,0,1130,0,0,59
ENSDART00000109259,142,923,1777,2039,1458,2069
MSTRG.29225.1,0,3,0,0,15,17
ENSDART00000178139,0,0,0,0,0,0
ENSDART00000005366,0,360,656,1143,1068,985
ENSDART00000172199,0,0,214,0,0,0
ENSDART00000172198,0,0,0,0,0,0
ENSDART00000172197,0,0,0,0,0,0
ENSDART00000178132,10,24,357,109,15,79
ENSDART00000172195,24,185,230,269,189,315
ENSDART00000172194,0,7,0,8,2,3
ENSDART00000178137,0,2,7,6,0,3
ENSDART00000172192,0,0,0,0,0,0
ENSDART00000172191,0,2,50,73,0,63
ENSDART00000178134,0,0,0,0,0,0
ENSDART00000089609,0,48,100,160,173,217
ENSDART00000089603,0,0,118,14,3,26
ENSDART00000089601,4,48,171,99,117,117
MSTRG.28656.1,0,0,4,3,14,10
ENSDART00000041319,7,0,0,0,0,257
ENSDART00000179426,0,0,0,0,0,1
ENSDART00000179427,0,0,0,0,0,0
ENSDART00000179424,0,3,0,0,0,0
ENSDART00000179425,0,2,38,8,5,30
ENSDART00000179422,0,8,0,0,0,0
ENSDART00000179423,1,15,17,21,10,16
ENSDART00000179420,0,0,0,0,0,17
ENSDART00000179421,0,0,0,0,0,0
ENSDART00000179428,2,17,53,32,26,44
ENSDART00000179429,16,136,249,338,211,275
ENSDART00000054013,0,0,0,0,0,0
MSTRG.13892.1,0,65,99,100,24,94
MSTRG.32196.1,0,0,0,18,9,7
MSTRG.40453.1,0,0,0,22,4,0
ENSDART00000011936,32,209,276,262,310,219
ENSDART00000011931,63,201,430,673,474,768
MSTRG.40443.4,0,0,2,1,44,0
MSTRG.41226.1,0,1,19,0,2,1
MSTRG.27466.1,41,90,188,122,70,156
MSTRG.17747.2,0,15,0,26,1,0
MSTRG.18752.1,0,0,10,13,6,20
ENSDART00000046042,93,1,979,298,212,74
MSTRG.24782.3,0,251,0,0,0,4
MSTRG.18082.1,0,15,12,16,18,4
ENSDART00000128849,0,0,0,0,0,0
MSTRG.8897.1,14,62,31,125,131,238
MSTRG.44312.1,0,22,10,11,15,33
MSTRG.3476.1,0,0,3,0,23,0
ENSDART00000111437,0,0,0,0,0,0
ENSDART00000128840,8,157,0,0,7,288
ENSDART00000173570,0,0,0,0,0,0
MSTRG.26084.2,0,155,334,247,329,193
MSTRG.26084.3,0,249,177,0,235,65
ENSDART00000173571,0,0,0,0,0,0
ENSDART00000111435,42,291,702,328,593,620
ENSDART00000057296,0,8,5,0,0,5
MSTRG.19394.1,17,119,278,172,230,61
ENSDART00000057297,0,0,0,0,0,1
MSTRG.40309.1,0,7,66,0,0,38
ENSDART00000110229,0,0,0,32,10,1
MSTRG.154.3,0,0,92,50,315,320
ENSDART00000005989,0,38,78,33,56,144
ENSDART00000110224,0,179,296,311,248,364
ENSDART00000110227,0,0,0,0,0,0
MSTRG.44882.1,0,0,0,20,0,3
MSTRG.9311.1,0,18,2,0,0,2
ENSDART00000179176,0,0,10,0,0,3
ENSDART00000174920,0,0,0,0,0,0
ENSDART00000174921,0,0,0,0,0,0
ENSDART00000174922,0,0,0,0,0,0
ENSDART00000174923,0,0,2,0,0,0
ENSDART00000174924,0,0,0,0,0,1
ENSDART00000174925,0,0,0,0,0,0
ENSDART00000174926,0,258,564,496,88,210
ENSDART00000174927,0,0,0,0,0,0
ENSDART00000174928,6,17,11,13,15,57
ENSDART00000174929,0,0,0,0,0,0
MSTRG.20162.1,0,14,0,0,0,0
ENSDART00000178138,0,0,0,0,0,0
MSTRG.38121.1,0,0,0,0,8,2
ENSDART00000115812,6,54,50,75,18,57
MSTRG.22695.1,55,331,356,288,342,459
MSTRG.17339.1,0,0,0,10,0,0
MSTRG.45078.1,0,28,122,109,106,119
ENSDART00000178133,0,0,0,21,16,11
ENSDART00000172196,0,51,94,38,44,100
MSTRG.33209.1,0,0,1,14,0,5
MSTRG.2472.1,10,93,267,166,36,157
ENSDART00000178131,0,25,1,0,5,0
MSTRG.44936.1,0,3,3,0,8,0
ENSDART00000132027,0,0,0,0,0,0
ENSDART00000132026,0,0,0,0,0,0
ENSDART00000132025,0,5,129,60,1,2
ENSDART00000178130,0,42,0,166,132,47
ENSDART00000132023,88,267,110,164,1018,158
ENSDART00000132022,0,0,0,0,0,0
ENSDART00000132021,18,1,36,21,18,13
ENSDART00000132020,0,5,2,0,0,0
MSTRG.40931.1,9,83,75,71,207,211
ENSDART00000172193,0,0,0,0,0,0
MSTRG.39154.1,1,2,0,17,0,0
ENSDART00000132029,0,0,0,0,0,0
ENSDART00000132028,9,152,307,455,1059,91
MSTRG.42051.1,0,20,39,94,45,25
ENSDART00000178135,0,0,28,8,0,0
ENSDART00000172190,0,0,0,0,0,70
ENSDART00000051483,0,0,0,0,0,0
ENSDART00000133998,115,1039,1448,1655,1641,1956
MSTRG.4153.1,3,60,4,16,36,67
ENSDART00000161849,0,2,6,2,10,19
ENSDART00000161848,7,212,514,382,54,27
ENSDART00000161845,0,3,0,25,3,0
ENSDART00000133991,40,10,3,10,2,3
ENSDART00000161847,0,0,0,0,0,0
ENSDART00000161846,7,1,15,14,27,61
ENSDART00000161841,0,0,3,0,0,0
ENSDART00000133995,0,0,0,0,0,0
ENSDART00000161843,0,0,0,0,0,0
ENSDART00000161842,0,0,0,0,0,14
ENSDART00000130879,0,205,0,188,253,244
MSTRG.2002.1,8,18,2,38,24,4
ENSDART00000177478,0,0,34,1,1,20
MSTRG.27402.1,0,1,0,187,0,13
ENSDART00000177476,6,114,161,156,114,189
ENSDART00000177475,709,2928,6768,6475,6215,5016
ENSDART00000130871,0,0,0,0,0,0
ENSDART00000130876,3,64,0,141,14,22
ENSDART00000177472,0,0,0,0,0,0
ENSDART00000177471,0,0,0,0,0,0
ENSDART00000177470,0,0,0,0,2,4
MSTRG.17892.1,0,0,28,22,0,7
MSTRG.40744.1,0,3,10,5,0,2
MSTRG.28012.1,0,0,0,15,0,7
MSTRG.33208.1,5,154,317,197,163,196
MSTRG.9391.1,13,115,0,0,0,5
MSTRG.5294.1,43,0,867,0,556,0
MSTRG.5294.3,74,556,195,223,134,365
ENSDART00000019581,85,298,524,676,696,805
MSTRG.23856.1,0,1,11,0,3,0
MSTRG.35734.5,0,1,0,30,0,0
MSTRG.44573.2,0,0,0,0,31,0
MSTRG.44573.1,0,31,20,0,0,58
ENSDART00000081035,8,74,53,94,72,101
ENSDART00000148261,0,0,0,0,0,70
ENSDART00000081038,0,47,75,54,46,95
ENSDART00000177956,0,0,0,0,0,0
MSTRG.43914.2,0,6,2,9,26,5
ENSDART00000170128,0,11,231,0,232,3
ENSDART00000170129,0,0,0,0,5,0
MSTRG.41321.1,0,43,29,0,47,40
ENSDART00000170124,0,0,15,1,3,2
MSTRG.42048.2,4,12,16,0,43,29
ENSDART00000170126,0,0,0,0,0,2
ENSDART00000170127,0,0,0,0,0,0
ENSDART00000170120,0,0,0,0,0,0
ENSDART00000170121,0,0,0,5,7,13
ENSDART00000170122,0,0,0,0,10,0
ENSDART00000170123,0,0,0,0,0,0
ENSDART00000133374,0,0,3,48,6,3
ENSDART00000133375,0,60,205,179,105,204
ENSDART00000133377,0,0,0,0,0,0
ENSDART00000133370,0,49,38,83,28,43
ENSDART00000133371,11,83,170,127,199,187
ENSDART00000133372,0,921,714,1094,920,786
ENSDART00000133373,0,0,0,0,0,0
ENSDART00000177953,6,47,59,54,90,33
ENSDART00000133378,0,0,0,0,0,0
ENSDART00000133379,3,0,0,6,11,3
MSTRG.12025.1,0,5,0,3,6,9
MSTRG.36385.1,0,36,21,24,7,45
MSTRG.23391.1,0,9,0,7,25,15
MSTRG.36298.1,0,5,0,9,14,12
MSTRG.8067.1,0,16,17,23,32,11
MSTRG.36204.3,0,0,0,243,0,185
MSTRG.45076.1,3,3,5,10,7,15
MSTRG.5073.10,0,25,125,30,16,16
MSTRG.5073.12,6,207,494,105,213,388
MSTRG.5073.13,0,15,56,11,0,22
MSTRG.5073.14,0,0,183,0,0,0
MSTRG.36539.1,0,16,7,20,0,4
MSTRG.5073.17,0,9,0,44,0,0
MSTRG.32952.1,0,0,0,9,0,2
ENSDART00000151123,0,0,0,0,0,0
ENSDART00000074231,14,190,350,472,286,482
ENSDART00000136820,52,119,24,320,131,178
ENSDART00000136827,55,264,722,547,200,386
ENSDART00000136826,0,0,0,0,0,0
ENSDART00000027028,0,0,0,0,0,0
ENSDART00000136824,0,0,0,0,0,0
ENSDART00000027026,0,0,0,22,0,4
ENSDART00000027022,0,12,0,0,0,0
ENSDART00000027020,49,263,682,74,120,141
MSTRG.3366.1,70,322,356,511,514,609
ENSDART00000082093,0,0,0,0,0,0
ENSDART00000163196,0,0,0,0,0,0
MSTRG.40315.1,0,14,0,7,0,4
ENSDART00000175595,0,0,0,0,0,0
ENSDART00000046863,26,164,294,313,365,441
MSTRG.39589.4,370,2511,5694,4922,3552,5800
MSTRG.39589.7,7,177,174,141,241,291
MSTRG.6996.1,0,0,0,21,0,0
MSTRG.6738.1,0,0,0,8,1,0
MSTRG.11101.1,0,8,0,0,16,0
MSTRG.41134.2,0,0,0,0,61,0
MSTRG.2263.1,4,28,16,22,57,50
MSTRG.28648.1,0,0,0,12,0,0
MSTRG.42550.1,0,0,18,0,15,4
MSTRG.2322.1,0,0,12,0,0,4
ENSDART00000033774,0,0,0,0,0,38
MSTRG.7303.1,0,146,181,223,162,147
MSTRG.33706.1,0,5,10,7,24,7
ENSDART00000157268,0,0,0,2,0,3
ENSDART00000157269,0,4,5,6,8,13
ENSDART00000142958,0,0,0,95,0,5
ENSDART00000142954,0,0,0,0,0,0
ENSDART00000157261,0,0,0,0,0,0
ENSDART00000157262,0,0,0,0,0,0
ENSDART00000142957,0,0,0,0,0,0
ENSDART00000157264,11,204,265,335,94,181
ENSDART00000142951,0,0,0,0,0,0
ENSDART00000142952,2,16,8,5,6,27
ENSDART00000142953,0,0,0,0,0,165
MSTRG.28465.1,0,0,0,0,14,0
MSTRG.41924.1,0,9,11,0,0,3
MSTRG.16902.4,0,254,0,205,14,55
MSTRG.16902.5,0,13,0,106,12,14
ENSDART00000143484,0,0,0,0,0,0
MSTRG.16902.3,0,1,29,0,0,337
ENSDART00000167797,0,0,0,0,0,0
MSTRG.7080.1,706,5673,7010,9064,6489,9281
MSTRG.5748.1,0,0,10,0,0,0
ENSDART00000174468,0,0,0,0,0,0
ENSDART00000130054,0,0,0,0,0,0
ENSDART00000130055,0,0,82,0,0,0
ENSDART00000130056,0,0,0,0,0,0
ENSDART00000130057,25,473,509,535,476,1056
ENSDART00000130050,0,0,0,0,0,507
ENSDART00000130051,0,44,45,93,24,90
MSTRG.26326.1,0,0,11,0,0,0
ENSDART00000130053,10,21,24,135,62,91
ENSDART00000130059,0,12,8,20,17,24
ENSDART00000138681,0,0,0,0,0,0
MSTRG.4825.1,0,2,24,7,37,31
ENSDART00000079144,73,500,971,825,572,969
ENSDART00000079145,0,0,0,0,0,50
ENSDART00000138685,0,3,20,0,7,4
ENSDART00000138684,0,0,0,0,13,12
ENSDART00000138687,20,139,263,204,176,244
ENSDART00000138686,0,0,0,0,0,0
ENSDART00000138689,0,0,0,0,0,0
ENSDART00000138688,0,0,0,0,5,19
ENSDART00000052749,11,35,48,89,82,85
ENSDART00000174467,0,0,0,0,42,0
ENSDART00000079149,2,51,116,15,56,7
MSTRG.8020.1,22,0,0,0,0,0
ENSDART00000174460,0,0,2,0,0,7
ENSDART00000162829,0,0,0,0,0,0
ENSDART00000084876,0,36,0,6,19,40
MSTRG.33687.1,0,0,0,11,0,0
MSTRG.9097.1,0,0,23,4,4,0
MSTRG.6617.1,0,36,53,7,11,4
MSTRG.24937.1,0,0,27,2,0,4
MSTRG.5151.2,0,0,0,0,23,0
MSTRG.35011.1,0,49,64,15,32,83
MSTRG.19809.1,0,8,6,8,6,2
MSTRG.39783.1,0,3,37,19,7,8
ENSDART00000062841,14,23,238,99,98,90
ENSDART00000062845,3,14,37,25,71,42
ENSDART00000090436,0,28,0,0,0,45
MSTRG.14482.1,7,2,0,298,41,12
MSTRG.32097.1,0,0,0,0,10,8
ENSDART00000104505,0,67,40,39,56,93
ENSDART00000104504,0,0,0,0,0,0
MSTRG.8.3,0,35,106,5,0,0
ENSDART00000021462,36,355,522,672,609,815
MSTRG.11691.1,0,2,0,11,1,0
ENSDART00000088407,0,7,0,11,0,7
MSTRG.950.1,0,0,0,0,21,0
ENSDART00000088403,80,1402,904,595,2489,2711
MSTRG.15342.1,2,16,8,11,55,27
ENSDART00000112859,0,0,0,0,0,0
MSTRG.38046.1,0,5,3,12,4,7
MSTRG.33388.1,0,0,0,16,0,0
ENSDART00000042413,0,0,0,0,0,2
MSTRG.34512.1,0,5,4,2,0,12
MSTRG.30175.1,23,235,415,334,385,486
MSTRG.2495.7,1,8,42,37,39,23
MSTRG.16124.1,0,0,0,14,0,0
MSTRG.2495.5,0,0,193,76,224,188
MSTRG.2495.4,0,210,71,85,175,12
MSTRG.2495.2,0,222,80,1,177,44
MSTRG.44331.1,0,0,8,3,3,6
MSTRG.7404.1,0,2,0,8,4,0
MSTRG.1547.1,0,0,0,8,0,0
ENSDART00000136049,0,0,10,29,25,0
ENSDART00000136048,0,0,0,0,0,0
ENSDART00000136045,10,131,1,119,309,69
MSTRG.873.1,0,16,20,5,0,13
ENSDART00000136047,0,0,0,0,0,0
ENSDART00000136046,13,69,121,216,124,194
ENSDART00000136041,0,27,4,22,39,851
ENSDART00000136040,0,0,0,21,0,2
ENSDART00000136043,0,1,0,4,3,2
ENSDART00000136042,0,1,12,1,12,9
ENSDART00000118760,0,0,0,0,0,0
ENSDART00000118766,0,0,0,0,0,0
MSTRG.7402.1,0,0,35,0,0,0
MSTRG.12789.1,0,15,0,0,0,0
ENSDART00000034489,0,0,0,0,0,0
ENSDART00000113824,0,212,403,366,410,772
ENSDART00000113823,0,0,16,39,0,0
MSTRG.43962.1,0,0,0,0,19,0
MSTRG.25032.1,0,0,10,0,3,1
MSTRG.13283.1,0,5,43,24,6,12
ENSDART00000113829,0,12,0,0,0,9
ENSDART00000100509,0,0,0,0,0,0
ENSDART00000100508,0,22,36,36,28,20
ENSDART00000140569,169,1645,2027,819,2254,2702
MSTRG.19502.2,0,14,512,0,129,230
MSTRG.40448.1,0,0,46,0,2,2
ENSDART00000140563,0,1,6,1,4,1
ENSDART00000140562,0,42,1,10,3,3
ENSDART00000140560,0,0,0,4,16,16
ENSDART00000100504,0,202,262,272,126,113
MSTRG.2136.1,0,0,32,0,0,5
ENSDART00000140564,0,9,14,9,2,9
ENSDART00000124380,0,0,0,1,0,0
MSTRG.29305.1,0,13,48,11,32,13
ENSDART00000124383,6,0,0,1,3,0
ENSDART00000102903,0,23,44,77,32,65
ENSDART00000102902,0,144,217,157,244,225
ENSDART00000102901,0,12,0,15,94,7
ENSDART00000102900,25,248,338,783,522,696
ENSDART00000102904,0,0,0,0,0,29
MSTRG.5937.1,8,32,67,56,54,52
MSTRG.24765.1,0,0,0,8,0,0
MSTRG.25149.1,0,2,32,3,0,0
MSTRG.20789.5,0,167,0,0,206,213
MSTRG.6250.1,49,136,450,634,244,749
MSTRG.18994.1,40,564,489,451,449,740
MSTRG.30837.1,0,0,0,11,10,2
ENSDART00000137312,0,6,6,7,5,4
ENSDART00000137313,0,1,1,1,1,1
ENSDART00000137310,0,0,0,0,0,0
ENSDART00000137311,0,0,0,2,0,0
ENSDART00000137316,0,0,0,0,0,0
ENSDART00000137315,8,101,538,170,120,329
ENSDART00000137318,5,8,4,7,6,7
