gene_id,SRR1048058,SRR1048059,SRR1048060,SRR1048061,SRR1048062,SRR1048063
MSTRG.38989,2,0,0,2,0,2
MSTRG.43944,0,0,24,8,0,5
MSTRG.28367,0,0,0,0,0,0
ENSDARG00000071001,0,4,0,15,13,17
ENSDARG00000016951,0,0,0,0,0,0
ENSDARG00000090253,0,0,0,10,0,0
MSTRG.5810,98,631,726,1407,1042,1318
MSTRG.28360,0,55,82,21,108,146
ENSDARG00000081453,0,0,0,0,0,0
MSTRG.5918,0,25,58,34,54,53
ENSDARG00000103223,0,2,0,0,0,8
ENSDARG00000097868,0,0,0,0,0,0
ENSDARG00000097864,0,0,0,0,0,0
ENSDARG00000103544,0,0,0,0,0,0
MSTRG.22463,40,314,489,890,674,777
ENSDARG00000080309,0,0,0,0,0,0
MSTRG.5919,0,25,45,37,44,14
MSTRG.43179,0,4,0,0,14,3
MSTRG.43178,7,56,55,70,63,80
MSTRG.19848,0,0,0,0,0,0
MSTRG.19849,21,192,216,299,351,318
MSTRG.19846,0,0,13,0,0,0
MSTRG.43174,34,169,208,285,291,344
MSTRG.43177,0,87,267,94,59,143
MSTRG.19845,0,1,19,0,0,0
MSTRG.5816,21,634,748,890,771,800
MSTRG.43170,0,3,41,54,3,6
MSTRG.19840,0,1,15,0,0,0
MSTRG.43172,30,347,591,482,490,594
MSTRG.15172,3,154,86,166,256,229
MSTRG.15173,0,0,0,10,0,0
MSTRG.15170,163,1376,2187,1917,1893,2427
MSTRG.15171,47,177,259,303,341,330
MSTRG.15176,0,128,148,144,128,234
MSTRG.15177,0,99,82,220,211,183
MSTRG.15174,0,0,0,0,13,1
MSTRG.15175,6,36,55,57,20,85
MSTRG.15178,0,0,0,0,0,0
MSTRG.15179,0,36,30,41,7,43
MSTRG.10522,3,17,14,55,22,11
MSTRG.10523,19,298,955,343,516,648
MSTRG.10520,4,97,201,85,129,207
MSTRG.37302,67,175,289,315,216,368
MSTRG.37305,0,15,0,131,78,39
MSTRG.10527,6,180,254,387,149,326
MSTRG.10524,0,8,0,15,3,0
MSTRG.10525,0,20,41,29,78,60
MSTRG.37309,94,1094,839,763,677,520
MSTRG.37308,0,36,33,33,27,28
MSTRG.10528,0,0,9,0,0,0
MSTRG.10529,22,100,161,260,184,296
MSTRG.22461,304,2758,5156,7035,3755,6147
MSTRG.5660,0,3,0,4,0,27
MSTRG.5661,34,332,402,443,426,599
MSTRG.5662,0,8,0,0,0,0
MSTRG.5663,0,0,3,16,0,3
MSTRG.5664,0,0,13,0,0,0
MSTRG.5665,3,10,294,32,39,71
MSTRG.5666,0,0,20,0,0,0
MSTRG.5667,0,1,10,1,5,3
MSTRG.5668,0,2,19,15,0,5
MSTRG.5669,0,0,8,0,0,0
ENSDARG00000062640,0,21,0,0,0,6
ENSDARG00000103227,0,0,0,0,0,0
MSTRG.11397,8,2,24,45,0,31
MSTRG.38304,0,0,0,0,0,0
MSTRG.38305,0,38,99,245,124,156
MSTRG.38306,3,3,41,38,22,8
MSTRG.38307,3,62,211,121,82,127
MSTRG.38300,3,16,6,51,36,27
MSTRG.38301,0,10,0,0,0,0
MSTRG.38302,0,0,0,0,10,33
MSTRG.38303,8,302,1104,305,411,359
ENSDARG00000107519,0,0,0,0,0,0
MSTRG.38308,0,0,0,0,8,0
MSTRG.38309,0,13,2,57,12,16
ENSDARG00000107516,0,0,0,0,0,2
MSTRG.17236,0,6,10,0,0,3
ENSDARG00000107514,0,0,0,0,0,0
MSTRG.3848,0,0,22,0,25,20
MSTRG.3849,0,9,1,0,0,0
MSTRG.3842,0,0,0,0,0,1
MSTRG.3843,0,1,0,0,0,13
MSTRG.3840,5,0,2,0,14,11
MSTRG.3841,0,32,0,0,61,66
MSTRG.3846,0,21,12,69,49,28
MSTRG.3847,0,3,0,11,8,4
MSTRG.3844,0,4,0,0,0,0
MSTRG.3845,37,406,461,529,434,633
MSTRG.18719,0,11,20,19,28,14
MSTRG.18718,0,0,0,14,0,0
MSTRG.18715,3,121,562,155,54,276
MSTRG.18714,0,0,27,0,0,6
MSTRG.18717,0,0,0,0,0,0
MSTRG.11395,0,11,57,18,0,66
MSTRG.18711,2,67,180,156,103,208
MSTRG.18710,23,200,672,178,244,344
MSTRG.18713,2,15,104,62,62,96
MSTRG.18712,0,11,0,0,0,0
ENSDARG00000090842,0,0,0,0,0,0
MSTRG.7537,0,0,0,0,0,0
ENSDARG00000090840,0,0,7,7,0,9
ENSDARG00000041107,0,0,0,0,0,24
ENSDARG00000094748,0,0,0,0,0,0
ENSDARG00000094749,0,0,0,0,0,0
ENSDARG00000092991,0,0,0,0,0,0
MSTRG.2349,0,0,2,16,6,5
ENSDARG00000098669,0,0,0,0,0,4
MSTRG.4858,2,4,24,2,14,13
ENSDARG00000098665,0,0,0,0,0,0
MSTRG.6311,35,161,303,217,173,296
MSTRG.28937,0,0,21,0,0,0
MSTRG.6313,35,203,440,223,243,346
MSTRG.6312,17,122,147,146,180,225
MSTRG.28932,0,0,0,0,0,0
ENSDARG00000086383,0,0,0,0,0,0
MSTRG.6317,23,222,401,651,391,590
MSTRG.28931,0,18,0,24,6,0
MSTRG.6319,0,0,0,0,16,0
MSTRG.6318,23,120,259,369,196,330
MSTRG.28938,75,571,1293,656,724,948
MSTRG.28939,0,12,84,6,60,68
MSTRG.38015,0,0,0,0,16,0
MSTRG.33374,0,0,0,0,0,0
MSTRG.33375,0,0,0,0,0,0
ENSDARG00000084170,0,0,0,0,0,0
MSTRG.33377,0,0,0,0,0,0
MSTRG.33370,0,2,9,12,2,13
MSTRG.33371,0,0,0,11,0,0
MSTRG.33372,0,0,0,0,0,0
ENSDARG00000084175,0,0,0,0,0,0
MSTRG.44255,41,0,231,236,307,249
MSTRG.30936,0,8,0,0,0,0
MSTRG.30935,0,0,0,35,0,0
