## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.DL.sorted.bam OUTPUT=bam/MCL1.DL.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 11:49:31 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2543315700	2427355092		1360336897	854856908	146785675	65375612	0	0	0	9777431	9753083	87030	0.500623	0.499377		0.560419	0.352176	0.060471	0.026933	0.912596	0.870987	0	0.388076	0.452165	0.450605	0.799552			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.256542
1	0.307947
2	0.386449
3	0.455421
4	0.523625
5	0.585882
6	0.644594
7	0.699397
8	0.745392
9	0.78556
10	0.834337
11	0.860193
12	0.885645
13	0.908776
14	0.921834
15	0.934871
16	0.954308
17	0.971074
18	0.984904
19	1.001586
20	1.032074
21	1.054405
22	1.061537
23	1.062436
24	1.070268
25	1.078798
26	1.090266
27	1.101261
28	1.103299
29	1.1071
30	1.10193
31	1.109554
32	1.117126
33	1.127302
34	1.137377
35	1.13571
36	1.142905
37	1.148798
38	1.145524
39	1.152368
40	1.156677
41	1.155227
42	1.162228
43	1.162618
44	1.166989
45	1.174017
46	1.177157
47	1.17934
48	1.180106
49	1.174728
50	1.175898
51	1.178727
52	1.178415
53	1.176766
54	1.174646
55	1.173118
56	1.176382
57	1.176934
58	1.174754
59	1.1717
60	1.168677
61	1.160747
62	1.161423
63	1.153106
64	1.148049
65	1.148941
66	1.14764
67	1.141385
68	1.138029
69	1.128034
70	1.123222
71	1.118938
72	1.11439
73	1.106062
74	1.095597
75	1.089665
76	1.089459
77	1.084664
78	1.074421
79	1.067555
80	1.062901
81	1.064906
82	1.064059
83	1.051019
84	1.036632
85	1.018826
86	0.993587
87	0.964818
88	0.943504
89	0.925731
90	0.90242
91	0.874202
92	0.844237
93	0.81062
94	0.767311
95	0.71575
96	0.665023
97	0.603664
98	0.535927
99	0.477817
100	0.441278

