Geneid	Length	Sample.A	Sample.B	Sample.C	Sample.D	Sample.E	Sample.F
uc007aet.1	3608	5	0	273	385	0	507
Q5GH67	3634	0	0	359	505	0	572
uc007aev.1	2257	0	0	3	10	0	0
A0A0A6YXU6	3047	0	2	0	0	0	0
P56716	7508	0	12	0	0	3	0
Q61473	4340	0	10	61	45	2	30
A0A0A6YXS3	3704	0	0	0	0	0	0
NP_001276396	2897	0	0	0	0	0	0
Q9CPR5-2	1916	0	0	0	0	0	0
Q9CPR5	4201	277	392	214	213	240	218
uc007afe.3	1761	0	0	0	0	0	0
P97823-2	2355	18	8	6	5	10	3
P97823	2433	1233	1713	2021	1855	1657	2252
P10711	2671	0	0	0	0	0	0
NP_001153222	2668	0	0	0	0	0	0
E9PYD5	2564	0	0	11	3	0	3
uc057aty.1	2719	0	5	14	7	5	3
NP_001277301	1708	0	3	0	0	0	0
Q9QZB1	1778	5	10	5	0	15	0
E9Q720	2125	0	8	3	0	2	0
A0A0A6YVU0	2396	0	0	0	0	0	0
Q8BVE3	2063	0	0	0	0	0	0
A0A0A6YX18	2009	0	0	0	0	0	0
P33534	6749	0	0	0	0	0	0
NP_001305664	4704	0	0	0	0	0	0
P49681	3692	0	3	0	0	0	0
Q3UUX8	5428	45	52	77	58	83	75
Q9ESK9	10181	110	230	91	148	153	195
F7CC56	6284	0	0	0	0	0	0
F6TLJ4	2612	0	0	0	0	0	0
uc007afu.2	2128	0	0	0	0	0	0
J3QPP8	858	0	0	0	0	0	0
Q80TY4	6161	0	2	3	0	0	0
uc029qmq.1	24	0	0	0	0	0	0
P59913	5232	373	282	456	527	275	518
Q3TSP0	5617	38	20	9	17	30	8
NP_898849	4411	0	0	0	0	0	0
uc007age.1	1261	2	5	0	0	7	2
uc007agf.1	631	5	7	0	0	3	0
uc029qmr.1	37	0	0	0	0	0	0
uc029qms.1	24	0	0	0	0	0	0
Q925E1-2	4550	0	0	0	0	0	0
Q8BNW6	7262	0	0	0	0	0	0
Q8C415	7259	0	0	0	0	0	0
NP_001277321	6994	0	0	0	0	0	0
uc029qmt.1	46	0	0	0	0	0	0
uc011wib.2	2310	0	0	0	0	0	0
Q9CYH6	2048	915	2608	3652	1327	2304	1940
Q8R0N6	3139	603	433	48	57	462	52
uc007agn.2	1245	17	28	5	13	40	12
uc007ago.2	509	2	22	0	3	28	2
Q8BG31	3187	12	12	38	183	10	200
A0A0R4J132	4984	3	0	5	20	8	18
E9QLX9	4804	0	0	0	0	0	0
A0A0R4J0M9	9749	1290	3990	2705	2800	3592	3511
uc029qmu.1	1494	5	3	0	3	0	0
uc029qmv.1	1996	0	0	0	0	0	0
Q9ERE3	5994	0	0	2	0	0	5
uc011wid.1	5573	0	0	0	0	0	0
uc056yce.1	3748	0	5	6	12	0	5
E9Q956-2	2826	3	0	5	5	0	2
E9Q956	2553	0	0	5	13	0	5
uc007aha.1	407	215	445	744	338	418	435
uc011wif.1	74	7	7	29	8	5	20
V9GWT9	3746	70	30	88	62	80	48
Q8R1Z4	1427	0	0	0	0	0	0
uc007ahc.2	1150	0	0	0	0	0	0
Q8R1Z4-2	790	0	0	0	0	0	0
O35864	3158	275	475	339	310	393	337
NP_001264030	1482	0	0	0	0	0	0
D3Z378	2079	5	0	2	2	5	3
B2RX88-6	2289	0	0	0	0	0	0
B2RX88-4	4354	10	13	25	32	17	2
B2RX88-5	2178	0	0	0	0	0	0
uc007ahm.1	398	2	0	0	0	0	2
B2RX88-3	1335	0	0	0	0	0	0
B2RX88-2	4052	0	7	0	0	0	0
G3X9K3	7042	2530	3409	3106	3205	3586	3363
uc007aho.1	3526	10	3	14	2	10	5
D3YYK9	3124	0	3	0	0	0	0
Q5U901	1940	0	0	3	3	0	5
NP_001276426	1815	0	0	0	0	0	0
uc029qmw.1	29	0	0	0	0	0	0
Q3LAC4	11054	30	15	88	110	32	90
Q3LAC4-2	1584	0	0	0	0	0	0
Q8BY00	2949	0	0	0	0	0	0
Q3UWW3	6537	0	0	0	0	0	0
Q8BZJ8-3	1336	0	0	0	0	0	0
Q8BZJ8-4	6168	0	0	0	0	0	0
Q8BZJ8-2	6815	0	0	0	0	0	0
Q8BZJ8	2780	0	0	0	0	0	0
B2RQF6	2789	0	0	0	0	0	0
NP_001297380	2732	0	0	0	0	0	0
B7ZN57	2741	0	0	0	0	0	0
NP_796147	654	0	0	0	0	0	0
uc033fic.1	121	0	0	0	0	0	0
uc029qmx.1	3200	0	0	0	0	0	0
Q8K007	5681	20	8	614	478	12	572
A0A087WR86	2004	0	0	0	0	0	0
E9PVD9	8511	0	27	11	10	13	25
Q148W2	4752	0	0	0	0	0	0
A0A087WP15	4574	0	0	0	0	0	0
A0A087WNX4	5123	0	0	0	0	0	0
E9Q3T6	2593	0	13	27	38	7	45
E9PV80	8161	0	0	0	0	0	0
Q61026	8662	22	25	91	108	48	98
Q8BN74	3858	3	0	5	0	0	3
Q8CAG7	2944	8	5	23	45	2	20
Q8C7Y3	2890	0	0	0	0	0	0
uc007ais.1	3467	0	0	0	0	0	2
Q91V04	2943	11298	9767	2915	2330	7672	2532
Q99KR3	1887	865	512	275	440	463	458
Q5GH62	1926	10	0	0	0	0	0
uc011wil.1	1245	5	10	11	12	12	8
P97767	4438	0	0	5	5	0	7
F6YST4	4330	0	0	0	0	0	0
Q8C9D0	4214	0	0	0	0	0	0
O88940	1717	2	90	5	3	38	5
uc007ajb.1	652	3	2	0	0	3	0
Q8BLA8	4263	0	0	0	0	0	0
V5TCP9	4173	0	0	0	0	0	0
A6H8H5	5309	0	0	3	0	0	0
P70371	4608	20	27	48	43	15	32
Q3V252	2181	0	0	0	0	0	0
Q3UPR9	2748	0	7	886	600	48	613
F6QJK4	1844	0	0	5	2	2	15
P14148	933	22905	72464	66547	50761	64811	57190
Q8VCH7	2295	280	1535	2803	3416	1502	3160
Q8CJ67	2890	0	0	0	0	0	0
Q8CJ67-2	2759	0	0	0	0	0	0
