GeneID	Entrez	Symbol	Description	Biotype	Chr	Start	End	Strand
ENSMUSG00000095134	NA	Mid1-ps1	midline 1, pseudogene 1 [Source:MGI Symbol;Acc:MGI:5780070]	unprocessed_pseudogene	Y	90753057	90763485	1
ENSMUSG00000096438	100042025	Gapdh-ps15	glyceraldehyde-3-phosphate dehydrogenase, pseudogene 15 [Source:MGI Symbol;Acc:MGI:5434255]	processed_pseudogene	Y	38619783	38620784	1
ENSMUSG00000096768	170942	Gm47283	predicted gene, 47283 [Source:MGI Symbol;Acc:MGI:6096131]	protein_coding	Y	90784738	90816464	1
ENSMUSG00000000134	209446	Tfe3	Transcription factor E3  [Source:UniProtKB/Swiss-Prot;Acc:Q64092]	protein_coding	X	7762560	7775202	1
ENSMUSG00000000787	13205	Ddx3x	ATP-dependent RNA helicase DDX3X  [Source:UniProtKB/Swiss-Prot;Acc:Q62167]	protein_coding	X	13280970	13294052	1
ENSMUSG00000004317	12728	Clcn5	H(+)/Cl(-) exchange transporter 5  [Source:UniProtKB/Swiss-Prot;Acc:Q9WVD4]	protein_coding	X	7153810	7319358	-1
ENSMUSG00000008035	68041	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish)) [Source:MGI Symbol;Acc:MGI:1915291]	protein_coding	X	10715013	10719690	1
ENSMUSG00000009731	16506	Kcnd1	Potassium voltage-gated channel subfamily D member 1  [Source:UniProtKB/Swiss-Prot;Acc:Q03719]	protein_coding	X	7822289	7838280	1
ENSMUSG00000015340	13058	Cybb	Cytochrome b-245 heavy chain  [Source:UniProtKB/Swiss-Prot;Acc:Q61093]	protein_coding	X	9435252	9487771	-1
ENSMUSG00000015342	22439	Xk	X-linked Kx blood group [Source:MGI Symbol;Acc:MGI:103569]	protein_coding	X	9272756	9313250	1
ENSMUSG00000023279	12155	Bmp15	Bone morphotic protein 15  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z0L4]	protein_coding	X	6314107	6320721	-1
ENSMUSG00000025037	17161	Maoa	monoamine oxidase A [Source:MGI Symbol;Acc:MGI:96915]	protein_coding	X	16619698	16687818	1
ENSMUSG00000031007	70495	Atp6ap2	Renin receptor  [Source:UniProtKB/Swiss-Prot;Acc:Q9CYN9]	protein_coding	X	12587801	12617049	1
ENSMUSG00000031010	22284	Usp9x	ubiquitin specific peptidase 9, X chromosome [Source:MGI Symbol;Acc:MGI:894681]	protein_coding	X	13071498	13173328	1
ENSMUSG00000031012	12361	Cask	Peripheral plasma membrane protein CASK  [Source:UniProtKB/Swiss-Prot;Acc:O70589]	protein_coding	X	13517080	13851367	-1
ENSMUSG00000031144	20977	Syp	Synaptophysin  [Source:UniProtKB/Swiss-Prot;Acc:Q62277]	protein_coding	X	7638471	7653256	1
ENSMUSG00000031145	54630	Prickle3	Prickle planar cell polarity protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q80VL3]	protein_coding	X	7657260	7668186	1
ENSMUSG00000031146	18824	Plp2	Proteolipid protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9R1Q7]	protein_coding	X	7667941	7671390	-1
ENSMUSG00000031147	54634	Magix	PDZ domain-containing protein MAGIX  [Source:UniProtKB/Swiss-Prot;Acc:Q4KL35]	protein_coding	X	7673164	7681251	-1
ENSMUSG00000031148	209416	Gpkow	G patch domain and KOW motifs [Source:MGI Symbol;Acc:MGI:1859610]	protein_coding	X	7697131	7710262	1
ENSMUSG00000031149	54637	Praf2	PRA1 family protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9JIG8]	protein_coding	X	7728439	7731064	1
ENSMUSG00000031150	54648	Ccdc120	Coiled-coil domain-containing protein 120  [Source:UniProtKB/Swiss-Prot;Acc:A2AEV7]	protein_coding	X	7731714	7750905	-1
ENSMUSG00000031153	54645	Gripap1	Mus musculus GRIP1 associated protein 1 (Gripap1), transcript variant 6, mRNA. [Source:RefSeq mRNA;Acc:NM_001359293]	protein_coding	X	7789765	7820567	1
ENSMUSG00000031154	54644	Otud5	OTU domain-containing protein 5  [Source:UniProtKB/Swiss-Prot;Acc:Q3U2S4]	protein_coding	X	7841364	7876626	1
ENSMUSG00000031155	18715	Pim2	Serine/threonine-protein kinase pim-2  [Source:UniProtKB/Swiss-Prot;Acc:Q62070]	protein_coding	X	7878262	7883432	1
ENSMUSG00000031156	22232	Slc35a2	solute carrier family 35 (UDP-galactose transporter), member A2 [Source:MGI Symbol;Acc:MGI:1345297]	protein_coding	X	7884028	7894492	1
ENSMUSG00000031157	54633	Pqbp1	Polyglutamine-binding protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q91VJ5]	protein_coding	X	7894519	7899269	-1
ENSMUSG00000031158	21855	Timm17b	translocase of inner mitochondrial membrane 17b [Source:MGI Symbol;Acc:MGI:1343176]	protein_coding	X	7899357	7908351	1
ENSMUSG00000031160	353283	Eras	GTPase ERas  [Source:UniProtKB/Swiss-Prot;Acc:Q7TN89]	protein_coding	X	7924276	7928607	-1
ENSMUSG00000031161	15185	Hdac6	Histone deacetylase 6  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z2V5]	protein_coding	X	7930120	7947889	-1
ENSMUSG00000031165	22376	Was	Wiskott-Aldrich syndrome [Source:MGI Symbol;Acc:MGI:105059]	protein_coding	X	8081453	8090498	-1
ENSMUSG00000031166	73447	Wdr13	WD repeat domain 13 [Source:MGI Symbol;Acc:MGI:1914661]	protein_coding	X	8123301	8132892	-1
ENSMUSG00000031167	19652	Rbm3	RNA binding motif (RNP1, RRM) protein 3 [Source:MGI Symbol;Acc:MGI:1099460]	protein_coding	X	8138975	8145880	-1
ENSMUSG00000031168	13595	Ebp	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase  [Source:UniProtKB/Swiss-Prot;Acc:P70245]	protein_coding	X	8185329	8193512	-1
ENSMUSG00000031169	53627	Porcn	Protein-serine O-palmitoleoyltransferase porcupine  [Source:UniProtKB/Swiss-Prot;Acc:Q9JJJ7]	protein_coding	X	8193848	8206525	-1
ENSMUSG00000031170	209837	Slc38a5	Sodium-coupled neutral amino acid transporter 5  [Source:UniProtKB/Swiss-Prot;Acc:Q3U1J0]	protein_coding	X	8271133	8280179	1
ENSMUSG00000031171	54632	Ftsj1	FtsJ RNA methyltransferase homolog 1 [Source:HGNC Symbol;Acc:HGNC:13254]	protein_coding	X	8238668	8252406	-1
ENSMUSG00000031174	19893	Rpgr	retinitis pigmentosa GTPase regulator [Source:MGI Symbol;Acc:MGI:1344037]	protein_coding	X	10073621	10216920	-1
ENSMUSG00000031176	67117	Dynlt3	Dynein light chain Tctex-type 3  [Source:UniProtKB/Swiss-Prot;Acc:P56387]	protein_coding	X	9654267	9663003	-1
ENSMUSG00000039201	209815	Tbc1d25	TBC1 domain family member 25  [Source:UniProtKB/Swiss-Prot;Acc:A1A5B6]	protein_coding	X	8154472	8176181	-1
ENSMUSG00000039231	20937	Suv39h1	suppressor of variegation 3-9 1 [Source:MGI Symbol;Acc:MGI:1099440]	protein_coding	X	8061171	8074760	-1
ENSMUSG00000039278	30052	Pcsk1n	ProSAAS KEP Big SAAS Little SAAS Big PEN-LEN PEN PEN-20 PEN-19 Little LEN Big LEN [Source:UniProtKB/Swiss-Prot;Acc:Q9QXV0]	protein_coding	X	7919822	7924410	1
ENSMUSG00000039382	54636	Wdr45	WD repeat domain 45 [Source:MGI Symbol;Acc:MGI:1859606]	protein_coding	X	7714333	7728206	1
ENSMUSG00000039521	20371	Foxp3	Forkhead box protein P3 Forkhead box protein P3, C-terminally processed Forkhead box protein P3 41 kDa form [Source:UniProtKB/Swiss-Prot;Acc:Q99JB6]	protein_coding	X	7579676	7595243	1
ENSMUSG00000039545	NA	Flicr		antisense	X	7573600	7581015	1
ENSMUSG00000039556	54646	Ppp1r3f	protein phosphatase 1, regulatory (inhibitor) subunit 3F [Source:MGI Symbol;Acc:MGI:1859617]	protein_coding	X	7557296	7574283	-1
ENSMUSG00000040229	23890	Gpr34	Probable G-protein coupled receptor 34  [Source:UniProtKB/Swiss-Prot;Acc:Q9R1K6]	protein_coding	X	13632089	13640858	1
ENSMUSG00000040363	71458	Bcor	BCL-6 corepressor  [Source:UniProtKB/Swiss-Prot;Acc:Q8CGN4]	protein_coding	X	12036740	12160355	-1
ENSMUSG00000044148	69155	1810030O07Rik	Uncharacterized   [Source:UniProtKB/Swiss-Prot;Acc:Q8C5K5]	protein_coding	X	12654879	12673668	-1
ENSMUSG00000046269	54651	Usp27x	ubiquitin specific peptidase 27, X chromosome [Source:MGI Symbol;Acc:MGI:1859645]	protein_coding	X	7371276	7375830	-1
ENSMUSG00000047344	236285	Lancl3	LanC-like protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q8CD19]	protein_coding	X	9199902	9268085	1
ENSMUSG00000047678	319200	Gpr82	Probable G-protein coupled receptor 82  [Source:UniProtKB/Swiss-Prot;Acc:Q8BZR0]	protein_coding	X	13661363	13667433	1
ENSMUSG00000051228	236690	Nyx	Nyctalopin  [Source:UniProtKB/Swiss-Prot;Acc:P83503]	protein_coding	X	13466110	13489313	1
ENSMUSG00000052364	NA	B630019K06Rik	RIKEN cDNA B630019K06 gene [Source:MGI Symbol;Acc:MGI:2147918]	protein_coding	X	8892382	8894964	1
ENSMUSG00000054453	236643	Sytl5	synaptotagmin-like 5 [Source:MGI Symbol;Acc:MGI:2668451]	protein_coding	X	9885622	9994543	1
ENSMUSG00000055188	NA	Rbm3os		antisense	X	8145429	8147964	1
ENSMUSG00000058254	21912	Tspan7	tetraspanin 7 [Source:MGI Symbol;Acc:MGI:1298407]	protein_coding	X	10485158	10596605	1
