## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.97.txt STRAND_SPECIFICITY=NONE INPUT=bam/MCL1.LE.bam OUTPUT=bam/MCL1.LE.rna_metrics.txt ASSUME_SORTED=false VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 12:30:59 BST 2019

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
3142542400	2995566750		2037440320	804268403	107168188	46689839	0	0	0	12535805	12481511	74701	0.501085	0.498915		0.680152	0.268486	0.035776	0.015586	0.948638	0.904271	0	0.42063	0.459918	0.451436	0.785671			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.25458
1	0.303099
2	0.382096
3	0.452015
4	0.513204
5	0.571581
6	0.615659
7	0.653082
8	0.703364
9	0.751199
10	0.789506
11	0.815111
12	0.847384
13	0.873902
14	0.890974
15	0.913912
16	0.940224
17	0.959919
18	0.979045
19	0.993547
20	1.021274
21	1.043754
22	1.055159
23	1.05999
24	1.064113
25	1.068573
26	1.080745
27	1.092824
28	1.100642
29	1.108791
30	1.115318
31	1.129192
32	1.137831
33	1.149914
34	1.163849
35	1.167767
36	1.175122
37	1.181847
38	1.179856
39	1.183391
40	1.199967
41	1.201349
42	1.206663
43	1.213387
44	1.20848
45	1.210719
46	1.207416
47	1.203311
48	1.2044
49	1.204072
50	1.20085
51	1.196422
52	1.195325
53	1.191025
54	1.181536
55	1.175246
56	1.16789
57	1.165531
58	1.16616
59	1.166788
60	1.167815
61	1.166521
62	1.171023
63	1.172563
64	1.169679
65	1.170226
66	1.167469
67	1.155978
68	1.154577
69	1.14944
70	1.143457
71	1.141985
72	1.141557
73	1.147496
74	1.141573
75	1.123355
76	1.109832
77	1.09952
78	1.083063
79	1.068345
80	1.058595
81	1.06064
82	1.063311
83	1.045703
84	1.023586
85	1.004979
86	0.978463
87	0.950687
88	0.924234
89	0.883433
90	0.851404
91	0.818088
92	0.784377
93	0.749561
94	0.712559
95	0.669058
96	0.624443
97	0.57152
98	0.518902
99	0.472893
100	0.444172

